"ub53dd4273c180c03677b5d763e92ef21|1516307342316" 
"ucd01ffe90f446023f2a8a5e44a63e8d2|1516310526863" 
"ue7f9bf7262d30cda5703b400a593de99|1516311039986" 
"u0b0fce8c6452ccad30e1e380cf56a185|1516311463695" 
"u0b0fce8c6452ccad30e1e380cf56a185|1516311474998" 
"u0b0fce8c6452ccad30e1e380cf56a185|1516311488240" 
"u0b0fce8c6452ccad30e1e380cf56a185|1516311518010" 
"u5f6a80c6d9114c02fd1a10cc9db17a4d|1516312075403" 
"u2a10e3ffefb899b12851f5d355be12fd|1516313644631" 
"uad03d96b29e088630b06b549f0b685c1|1516315713178" 
"u8bfee305212f5cc2d4dbf567e206ce01|1516315750461" 
"ua36640ee5fb0b318e40c2bbe7e05c6d9|1516315811033" 
"ue240ff035d1d398bbb86e1bd99a7c5c0|1516315874841" 
"u67cb8c6d9d8d5a6559b838f44336f1bb|1516316054561" 
"u2c79c8bfbb40ae73fa3056844e699f03|1516316135833" 
"u809b82a703c2fa120316d43ed100559d|1516316411085" 
"u95fe674e9f46445617380b3fc69273a6|1516316642224" 
"ue94987a874ac55f736d9ef10df56db2a|1516316914313" 
"u9a1ae5d50e88d8986a6347cd37338854|1516316951912" 
"u26bcc304983a9fe402940317ce220683|1516317103843" 
"u187f216e9f186cbad18c9bdc93833f7a|1516317309542" 
"u3e7de4f91f055d4c5b00006b6f185291|1516317431986" 
"u1826ee710adcc6d5c2d4d1203dcace5f|1516317863270" 
"ucbf9d48619254c3e8b68f8cd47b8fc64|1516318863406" 
"ue94987a874ac55f736d9ef10df56db2a|1516319129381" 
"uf24c14d82e485abe6e886bf81e8e7a23|1516319701077" 
"uc7e98e2a8180999f8a396e9e972cc6ef|1516319865495" 
"ufb18298392dc3f97a9a1477592b45443|1516320072257" 
"ub908f7f2af0cd873378ad01c42ae77fd|1516320138922" 
"u0177ddfe16f14da22cf00078ca9be07d|1516320250435" 
"u4760b8c40661c260d9701aadfd372db5|1516320877058" 
"u70bae6032f8f32a6068860a66b59afc2|1516320907793" 
"u985ca71701f9084e0d0e69bfdf876a5a|1516321395911" 
"u6d1adef6d5eb620e98b261f6450b99b8|1516323297580" 
"ufad6050bc087e1492034e7cdfb061320|1516326690505" 
"ucd01ffe90f446023f2a8a5e44a63e8d2|1516326695502" 
"uad03d96b29e088630b06b549f0b685c1|1516326713885" 
"u8efc739c78f4ad7b9781d2295d01adf7|1516326745374" 
"ufad6050bc087e1492034e7cdfb061320|1516326752642" 
"u8efc739c78f4ad7b9781d2295d01adf7|1516326753242" 
"uad03d96b29e088630b06b549f0b685c1|1516326759489" 
"uc358ba9b3a4d1c3c3002a96609aee061|1516327182620" 
"uc8219d00245b6ad2ab025e5275420341|1516327263190" 
"u62aa58cb0a3af4a2bd98a614cebf564d|1516331007881" 
"ub908f7f2af0cd873378ad01c42ae77fd|1516331150308" 
"u3156135d54e2ef6c8d3add608220f181|1516331326298" 
"u3156135d54e2ef6c8d3add608220f181|1516331326298" 
"u57c7cb8e27b1944931e6652ff6a8d05b|1516331672181" 
"ufd3b936d1529e7375a5fbcd57c528e9c|1516335464182" 
"u2a10e3ffefb899b12851f5d355be12fd|1516336689739" 
"ucd01ffe90f446023f2a8a5e44a63e8d2|1516336773080" 
"u187f216e9f186cbad18c9bdc93833f7a|1516336826628" 
"ub75e6d03fa52cb7bd6b23f06ee8e6410|1516337988885" 
"u26bcc304983a9fe402940317ce220683|1516338030759" 
"uf8bd610208922a0aeeda906e1e4509c4|1516339079511" 
"u0b0fce8c6452ccad30e1e380cf56a185|1516339128521" 
"u2c79c8bfbb40ae73fa3056844e699f03|1516339269379" 
"u5f6a80c6d9114c02fd1a10cc9db17a4d|1516339391778" 
"uaaf448de527570849c8b97168937d0a2|1516339460891" 
"u92373b454105ff67402c16adc7c2d6c1|1516339467035" 
"ua36640ee5fb0b318e40c2bbe7e05c6d9|1516339626554" 
"uec669551791b4eb08decf263c84e549c|1516339790595" 
"u809b82a703c2fa120316d43ed100559d|1516340951483" 
"u0c64a50c2f513d6e57ba166d25af00bc|1516341760014" 
"u736a5d9d7a205a391d58d3039160da05|1516341913922" 
"u985ca71701f9084e0d0e69bfdf876a5a|1516342530364" 
"u549ffa9886364988beab3c5cc94e3f82|1516343318702" 
"u549ffa9886364988beab3c5cc94e3f82|1516343721756" 
"u67cb8c6d9d8d5a6559b838f44336f1bb|1516344114780" 
"ue77712e4225ae2599233c6379abd72c2|1516344832273" 
"ue2939b4f8cf765bba88e50c392b55f86|1516345169946" 
"uda1b92b63f3cf3cd684b4815c5478075|1516345609754" 
"ua4837f5277d5935878d41f0f29cff4a9|1516347261305" 
"u549ffa9886364988beab3c5cc94e3f82|1516347372685" 
"u984c803d390eebaf1c376a1fc780cb7a|1516349087141" 
