"u805bb764bd930e135d47ca13093b8afb|1516312531813" 
"ueff57f0aed2916e1f7679148ae6792b8|1516315172011" 
"ubc951e96f635797245324581bc1218eb|1516316268173" 
"u12179c0c914e304e0978fa41eb3e4249|1516318753360" 
"u874f4c9ebbaf63147b73fed6f932e684|1516319186222" 
"u3e76443106c57639b4316da89a6623bb|1516319874496" 
"u46d6817619a9da8c2389e65556547148|1516320119359" 
"u374fa95b94fa628583cca6ea958c16b6|1516320725206" 
"uf329662dfaf5f3efafe906a0ccd9a1c5|1516321300488" 
"ub0fd224eee11c79d1510167eaa3a9bb7|1516324090299" 
"ud356e856430d1df94ad022ddfa90400c|1516326844479" 
"uecf535ab118f58bc79b4d8346f09a65c|1516339676896" 
"u47af306ce6541b2cb7f2448afa747a10|1516342502380" 
